filename,label,feature,value,z_score
english202.wav,Human,spectralFlux_sma3_stddevNorm,1.881659,5.25
english352.wav,Human,loudness_sma3_meanRisingSlope,24.436413,5.24
english352.wav,Human,loudness_sma3_percentile80.0,2.194022,5.24
shona2.wav,Human,logRelF0-H1-H2_sma3nz_amean,-20.494965,5.22
english331.wav,Human,mfcc1_sma3_stddevNorm,17.256046,5.22
english192.wav,Human,logRelF0-H1-A3_sma3nz_amean,-11.229895,5.21
english144.wav,Human,spectralFluxUV_sma3nz_amean,0.6354524,5.21
hindi2.wav,Human,mfcc1V_sma3nz_amean,-3.0671694,5.2
spanish56.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,21.541239,5.2
norwegian3.wav,Human,F1bandwidth_sma3nz_amean,936.847,5.2
2026-03-08 16-08-16.wav,AI,slopeUV500-1500_sma3nz_amean,0.04955054,5.2
english450.wav,Human,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.14652094,5.19
macedonian16.wav,Human,loudness_sma3_meanRisingSlope,24.288406,5.19
mandarin30.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,21.488564,5.18
spanish105.wav,Human,loudness_sma3_percentile50.0,1.2513492,5.18
english450.wav,Human,F1amplitudeLogRelF0_sma3nz_amean,-199.18361,5.18
english329.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,21.395456,5.16
spanish84.wav,Human,StddevUnvoicedSegmentLength,0.7333023,5.16
english159.wav,Human,F1bandwidth_sma3nz_amean,939.6058,5.16
korean14.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,21.331596,5.14
thai11.wav,Human,spectralFlux_sma3_stddevNorm,1.8624126,5.14
english336.wav,Human,logRelF0-H1-A3_sma3nz_amean,-10.698218,5.13
english336.wav,Human,shimmerLocaldB_sma3nz_amean,2.1186705,5.13
arabic76.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,964.14667,5.12
english56.wav,Human,HNRdBACF_sma3nz_stddevNorm,8.023216,5.09
spanish54.wav,Human,spectralFluxV_sma3nz_amean,1.1721393,5.08
english336.wav,Human,hammarbergIndexV_sma3nz_amean,-3.1358883,5.08
english231.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,473.5955,5.07
english566.wav,Human,alphaRatioV_sma3nz_stddevNorm,5.7436814,5.07
english260.wav,Human,loudness_sma3_stddevFallingSlope,11.566344,5.06
russian10.wav,Human,spectralFlux_sma3_amean,0.8083582,5.06
2026-03-08 16-09-45.wav,AI,loudness_sma3_pctlrange0-2,1.8452551,5.06
english450.wav,Human,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.15993732,5.06
bulgarian11.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,951.3668,5.05
english503.wav,Human,spectralFluxV_sma3nz_amean,1.1677755,5.05
english466.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1156.1584,5.05
cantonese4.wav,Human,alphaRatioV_sma3nz_stddevNorm,-6.9975615,5.05
turkish27.wav,Human,mfcc3V_sma3nz_amean,-28.693457,5.05
thai11.wav,Human,spectralFluxV_sma3nz_stddevNorm,1.237033,5.04
english260.wav,Human,loudness_sma3_meanRisingSlope,23.825111,5.03
turkish15.wav,Human,F1amplitudeLogRelF0_sma3nz_amean,-196.90422,5.03
macedonian16.wav,Human,spectralFluxV_sma3nz_amean,1.1648964,5.03
english303.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,20.975136,5.03
romanian19.wav,Human,mfcc3V_sma3nz_stddevNorm,-109.12125,5.02
english317.wav,Human,F1amplitudeLogRelF0_sma3nz_amean,-40.795082,5.01
03ce338b-1a70-40b2-a358-042c99242a5c.wav,AI,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,944.676,5.0
mandarin30.wav,Human,shimmerLocaldB_sma3nz_amean,2.093338,5.0
maltese2.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,20.896658,5.0
fanti1.wav,Human,VoicedSegmentsPerSec,4.9315777,5.0
english495.wav,Human,F2frequency_sma3nz_amean,2058.5999,4.98
english159.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,466.54297,4.98
farsi12.wav,Human,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,59.69957,4.97
english566.wav,Human,logRelF0-H1-H2_sma3nz_stddevNorm,-243.64398,4.96
french20.wav,Human,logRelF0-H1-H2_sma3nz_stddevNorm,-242.99164,4.95
english149.wav,Human,loudness_sma3_stddevFallingSlope,11.392955,4.94
xiang4.wav,Human,mfcc3_sma3_stddevNorm,534.85596,4.94
hindi2.wav,Human,F2amplitudeLogRelF0_sma3nz_stddevNorm,-1.2618797,4.93
czech3.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1133.0911,4.93
turkish27.wav,Human,mfcc3_sma3_amean,-23.408432,4.93
english57.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1132.0452,4.92
macedonian8.wav,Human,loudness_sma3_percentile80.0,2.1177914,4.92
filipino1.wav,Human,spectralFluxUV_sma3nz_amean,0.60713625,4.91
spanish56.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,2.172968,4.91
english450.wav,Human,F2amplitudeLogRelF0_sma3nz_amean,-196.0456,4.91
english501.wav,Human,spectralFluxV_sma3nz_amean,1.146199,4.91
english469.wav,Human,mfcc1_sma3_stddevNorm,-14.075483,4.89
english260.wav,Human,loudness_sma3_stddevRisingSlope,12.74925,4.89
english450.wav,Human,F3amplitudeLogRelF0_sma3nz_amean,-195.40604,4.88
